gsm,lib_id,title,donor,visit,tetramer,cell_type,qc_pass,timepoint,pb_group
GSM7953539,lib40388,2_DR0701_Baseline_lib40388,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953540,lib40389,2_DR0701_Baseline_lib40389,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953545,lib40394,2_DR0701_Baseline_lib40394,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953547,lib40396,2_DR0701_Baseline_lib40396,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953550,lib40399,2_DR0701_Baseline_lib40399,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953551,lib40400,2_DR0701_Baseline_lib40400,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953552,lib40401,2_DR0701_Baseline_lib40401,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953553,lib40402,2_DR0701_Baseline_lib40402,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953554,lib40403,2_DR0701_Baseline_lib40403,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953555,lib40404,2_DR0701_Baseline_lib40404,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953556,lib40405,2_DR0701_Baseline_lib40405,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953559,lib40408,2_DR0701_Baseline_lib40408,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953560,lib40409,2_DR0701_Baseline_lib40409,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953562,lib40411,2_DR0701_Baseline_lib40411,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953563,lib40412,2_DR0701_Baseline_lib40412,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953564,lib40413,2_DR0701_Baseline_lib40413,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953565,lib40414,2_DR0701_Baseline_lib40414,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953566,lib40415,2_DR0701_Baseline_lib40415,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953567,lib40416,2_DR0701_Baseline_lib40416,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953568,lib40417,2_DR0701_Baseline_lib40417,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953570,lib40419,2_DR0701_Baseline_lib40419,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953571,lib40420,2_DR0701_Baseline_lib40420,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953572,lib40421,2_DR0701_Baseline_lib40421,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953573,lib40422,2_DR0701_Baseline_lib40422,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953574,lib40423,2_DR0701_Baseline_lib40423,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953575,lib40424,2_DR0701_Baseline_lib40424,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953576,lib40425,2_DR0701_Baseline_lib40425,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953578,lib40427,2_DR0701_Baseline_lib40427,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953579,lib40428,2_DR0701_Baseline_lib40428,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953580,lib40429,2_DR0701_Baseline_lib40429,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953584,lib40433,2_DR0701_Baseline_lib40433,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953585,lib40434,2_DR0701_Baseline_lib40434,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953586,lib40435,2_DR0701_Baseline_lib40435,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
GSM7953587,lib40436,2_DR0701_Baseline_lib40436,2,Baseline,DR0701,CD4 T cell,TRUE,D0,2_D0
